Index,Quote,Author,Source
156,Our eyes met in the way that eyes will.,Donna Tartt,The Secret History
155,What a two of clubs kind of day. Fold.,Mhairi McFarlane,Cover Story
154,He didn't understand why I wanted to be a writer when I could never just trust a story.,Lily King,Heart the Lover
153,"If your daily life seems poor, do not blame it; blame yourself, tell yourself that you are not poet enough to call forth its riches.",Rilke,Letters to a Young Poet
152,"Because that's all art is, in the end. One person trying to get another person they have never met to fall in love with them",Rufi Thorpe,Margo's Got Money Troubles
151,Eggs on the counter […] (One of them has gone bad but you can't tell from the outside; you'll only figure it out if you put it in a glass of water and it floats like a witch.),Carmen Maria Machado,Her Body and Other Parties
150,"One's own dead are more than cadavers, they are place holders for the living. […] The dead of science are always strangers.",Mary Roach,Stiff
149,"You can make cobras dance, but not me.",Geese,Cobra
148,"The female body was particularly absorbent when it came to shame. If you wrung out any woman's body, you would discover it was soaked in shame.",Heather O'Neill,When We Lost Our Heads
146,Do […] is such a proletarian word. I prefer the life of the mind.,R.F. Kuang,Babel
145,"Even though the logistics of mat placement was deeply stressful, in a way that made me feel like I understood the primal conflicts for land that formed the basis of modern history.",Elif Batuman,Either/Or
144,"What's the difference between improvisation and choreography? Repetition and refinement. The first step isn't physical, it's the belief that what's inside you is important enough to repeat and refine.",Meg Howrey,They're Going to Love You
143,The problem with something you're not meant to have heard is that you're not meant to have heard it.,Mhairi McFarlane,You Belong With Me
142,"They were all walking around, in a constant state of emotional flinching, trying to hide their bad insides from each other.",Author once known,
141,All birds are women who have received a punishment.,Mariana Enriquez,A Sunny Place for Shady People
140,A songbird was a terrible curse: unpredictable and angry and easy to harm.,Jeff VanderMeer,Absolution
139,"Cynicism is a safety valve: if you accidentally place too many eggs in an unfashionable basket, you need to be able to pretend that the relationship between eggs and basket is, and always has been, part of an ironic meta narrative.",Oisin McKenna,Evenings and Weekends
138,A brief but truly shocking whiff of unacknowledged fart.,Oisin McKenna,Evenings and Weekends
137,"Dating […] is like trying on clothes for fit, except that the clothes are people.",Kaliane Bradley,The Ministry of Time
136,Beauty will save the world.,Fyodor Dostoevsky via Elif Batuman,The Idiot
135,Baking is controlling and fascist. You have to throw your body against the gears of the machine.,Random lady at the hair salon,
134,Sometimes the heart can fail without war.,Silvia Park,Luminous
133,"[She] believed their father was a great man, and wasn't that a condemnation, for great men rarely made good men.",Silvia Park,Luminous
132,"What can be owned and who can do the owning? What conveys a right, and why should humans, alone in all the planet, have them?",Richard Powers,Overstory
131,"Across the road a pair of poplars were excitedly discussing something dreadful, their foliage tinkling.",John Banville,The Eclipse
130,"He looked handsome and wilted, like a tough flower that was gallantly surviving despite over watering.",Caroline O'Donoghue,The Rachel Incident
129,Trees fall with spectacular crashes. But planting is silent and growth is invisible.,Richard Powers,The Overstory
128,"When you spend all your hours with horses, your soul expands a bit until the ways of men reveal themselves to be no more than a costume party.",Richard Powers,The Overstory
127,We're not separated from the world by our edges.,Ann Napolitano,Hello Beautiful
126,No one is ever alone in the world. There is always a friend somewhere for everyone.,Souvankham Thammavongsa,How to Pronounce Knife
125,"The whole world is just a patchwork quilt of crazy little cults, all with their own secret spaces, their own records, their own rules.",Robin Sloan,Mr. Penumbra's 24-Hour Bookstore
124,"It's is only that every day one grows a little, every day something is different, so that in the healing up of days suddenly a thing that was impossible has become possible.",Naomi Alderman,Power
123,It was less a dance than an institutionalized destruction of the self.,Brandon Taylor,Late Americans
122,Hearts are wild creatures; that's why our ribs are cages.,Elalusz via Morticia Addams,
121,Skip the beginning. Start in the middle.,Karen Joy Fowler,We're All Completely Besides Ourselves
120,This is a mouth that needs religion.,Broken Social Scene,Cause=Time
119,The virtue of the exceptional ordinary.,Alain de Botton,The Course of Love
118,"When you go out to paint, try to forget what object you have before you, a tree, a house, a field or whatever. Merely think, here is a little square of blue, here an oblong of pink, here a streak of yellow, and paint it just as it looks to you, the exact colour and shape, until it gives your own naive impression of the scene before you.",Monet,
117,"He held me like a hot water bottle when he slept, and I knew that night after night after night he had shared a bed with another body and together they'd constructed an oasis from just a mattress.",Dolly Alderton,Ghosts
116,You don't make stuff for everybody. You make stuff for the people that will love it.,John Green,
115,When our love was settling into the shape of our lives like cake mixture reaching the corners of the tin as it swells and bakes,Max Porter,Grief Is The Thing With Feathers
114,"In reference to mosquitos: we've done so many genocides, let's do a good one!",My friend Kyle,
113,"The problem, right, between rum and gin, is that gin, right, it leads to the melancholy...",,Peaky Blinders
112,Limitations and scarcity made subjective distinctions meaningful.,Chuck Klosterman,Nineties
111,"I always liked you...and hey, what's like except a love that hasn't been invited indoors.",Tamsyn Muir,Nona the Ninth
110,"Funny how we always think of knights as fighting dragons, when in fact they work for them.",Amal El-Mohtar,This Is How You Lose the Time War
109,"Once you turn back on something, you have no more right to act as though you own it.",Tamsyn Muir,Harrow the Ninth
108,"Whenever I would fly back [...], I always felt this relief that I hadn't known I had been missing. As I'd become accustomed to breathing out of one lung.",Elissa Sussman,Funny You Should Ask
107,In life you have to learn to count the good days. You have to tuck them in your pocket and carry them around with you.,Richard Osman,Thursday Murder Club
106,"Who wants to be loved for the hole in their chest when there is a woman somewhere willing to lie and say she can fix it, another prepared to spend decades pretending it isn't there?",Danielle Evans,Office of Historical Corrections
105,"Mother says there are locked rooms inside all women. Sometimes the men - they come with keys, and sometimes the men - they come with hammers.",Warsan Shire,Bless the Daughter
104,It's a luxury to be for or against something.,My friend Anand,
103,I'd spend my tax refunds on you.,A random man to my friend Melissa,
102,"You must remember, mijo, even people who were once your sails can become your anchors.",Xochitl Gonzalez,Olga Dies Dreaming
101,"You can go ahead and summit mount ""what's your point"" any time now.",,Letterkenny
100,[She] grew short of breath though she'd hardly stirred. A consequence of snatching images out of thin air - the air took something back.,Helen Oyeyemi,What Is Not Yours Is Not Yours
